id,celltype,biosampletype,ctrltype,lab
ENCFF000XTE,HepG2,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000XJD,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF001RVP,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002BFW,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002EGX,MCF-7,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002BCG,Oci-Ly-3,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002BBQ,Oci-Ly-1,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000YQB,K562,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QQI,MCF-7,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000WJW,GM15510,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000OCW,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HMS,epithelial cell of esophagus,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000BHF,mammary epithelial cell,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000ZVP,K562,immortalized cell line,Control (Homo sapiens),"Kevin White, UChicago"
ENCFF001HYC,SK-N-SH,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000OST,H1-hESC,stem cell,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000AHE,A549,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000ZIH,MCF 10A,immortalized cell line,Control (Homo sapiens),"Kevin Struhl, HMS"
ENCFF000VCW,HCT116,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000XSV,HepG2,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000WMR,GM18526,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000OCU,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HUC,LNCaP clone FGC,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002EIO,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WKG,GM15510,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000BQV,endothelial cell of umbilical vein,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001HVV,keratinocyte,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000WHX,GM12891,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ODP,GM12892,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000POV,HepG2,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000NGK,A549,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000NFZ,A549,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000AOG,T-cell acute lymphoblastic leukemia,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002DTS,MCF-7,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ZNE,NT2/D1,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000WIZ,GM12892,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002AVH,SUDHL6,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002EGW,GM12878,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFG,MCF-7,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000QEU,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000QFK,K562,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000ZPA,erythroblast,primary cell,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF001HRI,fibroblast of lung,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002EIL,A549,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EID,HepG2,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WZC,HEK293,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000VRQ,GM10847,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000CIW,fibroblast of dermis,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001HPU,mammary epithelial cell,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002EFI,MCF-7,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000RBY,SK-N-SH,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF002EHF,MCF-7,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF001HUV,CD14-positive monocyte,primary cell,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000QVV,PFSK-1,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000VPK,A549,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002ECN,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WMS,GM18526,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000ODJ,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000WXY,HEK293,immortalized cell line,Control (Homo sapiens),"Peggy Farnham, USC"
ENCFF000OEB,GM12878,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000XIH,HeLa-S3,immortalized cell line,mouse-IgG-control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000XIE,HeLa-S3,immortalized cell line,Control (Homo sapiens),"Sherman Weissman, Yale"
ENCFF000NGH,A549,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF001HVB,NB4,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF002BBC,Oci-Ly-1,immortalized cell line,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF000CFY,astrocyte,primary cell,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF001GWE,A549,immortalized cell line,Control (Homo sapiens),"John Stamatoyannopoulos, UW"
ENCFF000BNR,myotube,in vitro differentiated cells,Control (Homo sapiens),"Bradley Bernstein, Broad"
ENCFF002EIA,HepG2,immortalized cell line,rabbit-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFM,neural cell,in vitro differentiated cells,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000WIQ,GM12892,immortalized cell line,mouse-IgG-control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF002EFQ,GM12878,immortalized cell line,Control (Homo sapiens),"Michael Snyder, Stanford"
ENCFF000RQY,GM13976,immortalized cell line,Control (Homo sapiens),"Vishwanath Iyer, UTA"
ENCFF000RJV,T47D,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
ENCFF000PPI,HepG2,immortalized cell line,Control (Homo sapiens),"Richard Myers, HAIB"
